,Blinkroot Seed,Daybloom Seed,Deathweed Seed,Fireblossom Seed,Moonglow Seed,Shiverthorn Seed,Waterleaf Seed
Herb_Bag_1735,21,37,22,23,8,19,20
Herb_Bag_1736,19,25,30,22,6,26,6
Herb_Bag_1737,24,13,19,20,11,24,23
Herb_Bag_1738,18,31,9,20,0,26,19
Herb_Bag_1739,18,37,28,31,11,4,21
Herb_Bag_1740,21,30,22,16,6,28,12
Herb_Bag_1741,23,29,24,29,13,24,24
Herb_Bag_1742,28,19,16,3,14,23,21
Herb_Bag_1743,22,18,17,31,13,32,10
Herb_Bag_1744,14,34,24,21,18,31,17
Herb_Bag_1745,11,16,22,13,1,22,4
Herb_Bag_1746,27,29,12,24,8,24,20
Herb_Bag_1747,15,22,24,33,18,25,16
Herb_Bag_1748,25,4,24,0,0,17,13
Herb_Bag_1749,29,20,16,34,4,17,10
Herb_Bag_1750,13,13,15,12,11,21,15
Herb_Bag_1751,26,25,35,21,17,20,27
Herb_Bag_1752,24,23,19,31,10,17,19
Herb_Bag_1753,26,19,15,22,1,26,14
Herb_Bag_1754,21,31,20,24,14,15,12
Herb_Bag_1755,23,24,21,4,9,15,19
Herb_Bag_1756,26,36,31,30,10,15,6
Herb_Bag_1757,16,29,12,0,10,13,16
Herb_Bag_1758,11,32,22,13,17,15,8
Herb_Bag_1759,28,26,19,51,10,18,24
Herb_Bag_1760,29,10,16,19,10,13,11
Herb_Bag_1761,24,14,17,19,12,5,8
Herb_Bag_1762,12,50,19,15,6,19,10
Herb_Bag_1763,26,11,13,44,7,26,6
Herb_Bag_1764,16,20,19,0,14,26,6
Herb_Bag_1765,13,21,18,22,14,9,11
Herb_Bag_1766,31,31,12,9,7,15,15
Herb_Bag_1767,17,23,21,22,11,10,12
Herb_Bag_1768,17,8,23,26,13,23,12
Herb_Bag_1769,15,17,16,14,12,7,12
Herb_Bag_1770,26,16,18,34,5,14,9
Herb_Bag_1771,23,33,12,16,10,15,10
Herb_Bag_1772,30,17,19,47,0,12,8
Herb_Bag_1773,23,16,29,24,7,6,20
Herb_Bag_1774,13,28,27,18,6,22,19
Herb_Bag_1775,25,44,9,41,4,13,16
Herb_Bag_1776,22,16,14,20,18,11,10
Herb_Bag_1777,28,12,10,46,15,18,5
Herb_Bag_1778,5,30,32,21,22,22,16
Herb_Bag_1779,12,39,24,40,7,7,20
Herb_Bag_1780,20,23,24,26,6,22,15
Herb_Bag_1781,23,28,7,27,5,10,10
Herb_Bag_1782,37,19,28,0,7,12,4
Herb_Bag_1783,33,8,21,5,10,12,21
Herb_Bag_1784,29,27,14,23,3,19,10
Herb_Bag_1785,22,18,23,14,20,41,2
Herb_Bag_1786,20,14,15,10,14,21,16
Herb_Bag_1787,20,17,13,2,11,13,20
Herb_Bag_1788,17,15,14,32,10,20,0
Herb_Bag_1789,20,1,14,24,10,16,20
Herb_Bag_1790,21,22,16,13,2,5,7
Herb_Bag_1791,7,53,18,27,12,31,8
Herb_Bag_1792,14,4,23,37,9,20,12
Herb_Bag_1793,21,21,14,24,10,16,14
Herb_Bag_1794,10,34,29,39,10,16,18
Herb_Bag_1795,13,21,24,41,11,26,22
Herb_Bag_1796,25,12,18,7,14,20,6
Herb_Bag_1797,6,21,19,35,4,16,15
Herb_Bag_1798,19,25,27,30,13,18,4
Herb_Bag_1799,25,7,26,38,18,26,14
Herb_Bag_1800,22,36,19,42,9,26,18
Herb_Bag_1801,18,14,17,19,6,48,18
Herb_Bag_1802,21,29,27,13,5,32,18
Herb_Bag_1803,13,32,16,18,6,2,15
Herb_Bag_1804,22,0,30,20,10,30,5
Herb_Bag_1805,19,23,15,28,11,31,10
Herb_Bag_1806,22,10,17,36,8,10,13
Herb_Bag_1807,24,13,27,38,5,32,21
Herb_Bag_1808,18,23,18,9,11,9,17
Herb_Bag_1809,20,30,16,31,0,11,2
Herb_Bag_1810,16,16,14,34,5,20,12
Herb_Bag_1811,24,30,18,19,15,26,10
Herb_Bag_1812,17,28,7,28,6,7,5
Herb_Bag_1813,22,13,14,6,14,22,6
Herb_Bag_1814,19,26,28,33,11,19,21
Herb_Bag_1815,14,36,18,15,6,0,17
Herb_Bag_1816,33,15,20,27,21,23,12
Herb_Bag_1817,22,26,18,39,10,27,24
Herb_Bag_1818,26,23,21,42,2,17,12
Herb_Bag_1819,20,5,25,8,9,17,16
Herb_Bag_1820,32,19,13,41,8,12,23
Herb_Bag_1821,28,38,14,47,11,13,11
Herb_Bag_1822,11,25,14,34,0,26,13
Herb_Bag_1823,24,19,17,37,6,20,16
Herb_Bag_1824,13,17,16,10,9,16,9
Herb_Bag_1825,25,16,24,15,11,16,7
Herb_Bag_1826,16,12,15,37,4,20,14
Herb_Bag_1827,17,13,21,20,13,24,11
Herb_Bag_1828,18,25,15,31,15,24,16
Herb_Bag_1829,23,10,26,11,3,6,18
Herb_Bag_1830,18,27,27,4,19,21,6
Herb_Bag_1831,23,20,18,30,0,23,12
Herb_Bag_1832,24,25,13,20,0,11,12
Herb_Bag_1833,23,9,20,43,11,17,8
Herb_Bag_1834,17,14,30,12,5,21,21
Herb_Bag_1835,31,43,19,23,9,23,23
Herb_Bag_1836,13,28,18,4,23,22,21
Herb_Bag_1837,22,30,14,36,9,14,9
Herb_Bag_1838,17,17,24,42,6,14,11
Herb_Bag_1839,28,11,24,12,11,11,13
Herb_Bag_1840,22,25,16,3,15,7,5
Herb_Bag_1841,21,0,21,0,0,13,14
Herb_Bag_1842,20,13,22,21,10,12,16
Herb_Bag_1843,12,22,22,33,1,20,6
Herb_Bag_1844,23,16,14,41,11,19,9
Herb_Bag_1845,25,23,19,16,11,11,17
Herb_Bag_1846,20,8,14,14,4,20,21
Herb_Bag_1847,21,34,30,22,14,20,14
Herb_Bag_1848,32,28,27,22,18,14,16
Herb_Bag_1849,8,20,9,7,1,30,16
Herb_Bag_1850,32,19,17,18,4,36,1
Herb_Bag_1851,22,20,17,13,8,22,23
Herb_Bag_1852,33,26,21,22,20,8,17
Herb_Bag_1853,20,31,17,37,11,7,19
Herb_Bag_1854,16,10,10,18,14,24,5
Herb_Bag_1855,25,30,22,7,9,23,14
Herb_Bag_1856,21,8,8,33,14,23,17
Herb_Bag_1857,22,5,24,19,10,0,18
Herb_Bag_1858,24,26,22,10,6,13,10
Herb_Bag_1859,12,18,25,23,23,38,14
Herb_Bag_1860,21,9,17,18,3,24,18
Herb_Bag_1861,16,32,27,5,6,23,23
Herb_Bag_1862,18,17,23,22,9,21,17
Herb_Bag_1863,26,38,19,38,4,16,7
Herb_Bag_1864,19,30,16,17,4,21,14
Herb_Bag_1865,11,19,19,5,15,18,11
Herb_Bag_1866,26,14,31,33,9,22,0
Herb_Bag_1867,24,32,20,21,15,18,23
Herb_Bag_1868,19,12,22,32,6,13,12
Herb_Bag_1869,19,23,16,27,13,23,23
Herb_Bag_1870,12,5,28,27,8,16,17
Herb_Bag_1871,25,21,19,6,8,22,16
Herb_Bag_1872,30,8,12,17,11,19,11
Herb_Bag_1873,23,28,22,53,12,12,5
Herb_Bag_1874,19,16,10,8,7,15,21
Herb_Bag_1875,20,30,16,0,12,28,9
Herb_Bag_1876,32,16,21,33,18,24,20
Herb_Bag_1877,26,35,15,0,8,19,16
Herb_Bag_1878,25,28,21,53,8,23,3
Herb_Bag_1879,9,17,32,23,12,24,15
Herb_Bag_1880,22,14,21,17,12,23,14
Herb_Bag_1881,21,17,20,0,7,16,13
Herb_Bag_1882,26,22,28,44,13,24,21
Herb_Bag_1883,20,29,26,37,2,23,6
Herb_Bag_1884,18,14,18,68,17,17,6
Herb_Bag_1885,9,26,22,8,5,30,6
Herb_Bag_1886,28,8,23,14,15,23,14
Herb_Bag_1887,10,22,14,39,15,11,0
Herb_Bag_1888,15,15,23,27,4,34,20
Herb_Bag_1889,26,10,17,43,19,28,13
Herb_Bag_1890,23,18,29,4,7,26,10
Herb_Bag_1891,29,24,25,24,5,2,10
Herb_Bag_1892,16,10,27,21,13,26,18
Herb_Bag_1893,18,31,22,24,13,17,11
Herb_Bag_1894,26,13,13,26,12,14,23
Herb_Bag_1895,15,44,19,17,17,27,15
Herb_Bag_1896,16,15,12,44,16,15,19
Herb_Bag_1897,20,18,18,2,4,12,16
Herb_Bag_1898,31,6,14,10,13,18,16
Herb_Bag_1899,19,20,15,23,10,18,10
Herb_Bag_1900,18,40,21,17,12,19,3
Herb_Bag_1901,14,10,33,31,15,22,18
Herb_Bag_1902,19,32,21,31,6,24,10
Herb_Bag_1903,24,20,16,13,17,19,12
Herb_Bag_1904,16,13,27,23,2,21,15
Herb_Bag_1905,7,16,10,23,14,15,21
Herb_Bag_1906,15,32,23,22,14,16,15
Herb_Bag_1907,14,29,23,46,2,25,11
Herb_Bag_1908,23,35,19,9,9,30,15
Herb_Bag_1909,9,31,17,8,7,14,2
Herb_Bag_1910,15,25,21,20,8,25,19
Herb_Bag_1911,22,8,21,3,16,22,16
Herb_Bag_1912,15,17,14,25,9,8,23
Herb_Bag_1913,23,47,19,22,13,12,17
Herb_Bag_1914,22,32,16,22,9,20,17
Herb_Bag_1915,28,17,14,17,17,39,6
Herb_Bag_1916,12,17,14,31,11,30,18
Herb_Bag_1917,19,35,22,10,10,16,13
Herb_Bag_1918,5,32,27,39,14,24,18
Herb_Bag_1919,18,16,20,34,18,24,13
Herb_Bag_1920,22,34,16,17,18,19,18
Herb_Bag_1921,25,39,20,0,8,19,20
Herb_Bag_1922,21,25,21,0,10,31,13
Herb_Bag_1923,26,28,27,30,6,17,8
Herb_Bag_1924,14,28,23,22,5,11,4
Herb_Bag_1925,0,36,17,29,14,11,7
Herb_Bag_1926,18,16,6,6,13,15,11
Herb_Bag_1927,21,14,23,13,7,18,14
Herb_Bag_1928,30,8,16,15,7,24,7
Herb_Bag_1929,22,20,21,37,0,21,4
Herb_Bag_1930,17,21,28,32,6,23,16
Herb_Bag_1931,14,11,19,20,12,15,14
Herb_Bag_1932,22,3,20,0,8,13,14
Herb_Bag_1933,34,37,23,25,17,15,17
Herb_Bag_1934,20,10,15,42,6,9,17
Herb_Bag_1935,19,19,31,40,14,12,13
Herb_Bag_1936,15,18,24,16,14,17,0
Herb_Bag_1937,20,27,21,25,15,9,18
Herb_Bag_1938,22,35,20,14,15,14,23
Herb_Bag_1939,20,9,21,19,18,21,14
Herb_Bag_1940,25,26,13,0,20,10,17
Herb_Bag_1941,21,18,18,24,12,20,7
Herb_Bag_1942,27,19,15,30,13,19,12
Herb_Bag_1943,22,24,17,19,12,14,7
Herb_Bag_1944,20,15,32,22,9,16,25
Herb_Bag_1945,18,27,16,20,9,6,15
Herb_Bag_1946,11,23,24,31,8,24,17
Herb_Bag_1947,25,1,24,8,13,25,26
Herb_Bag_1948,24,25,19,25,14,10,12
Herb_Bag_1949,11,30,18,10,11,20,13
Herb_Bag_1950,12,26,16,25,13,15,7
Herb_Bag_1951,17,34,25,35,3,9,14
Herb_Bag_1952,16,20,23,40,11,17,30
Herb_Bag_1953,13,27,19,12,13,20,18
Herb_Bag_1954,23,8,19,37,9,20,12
Herb_Bag_1955,13,30,13,13,9,15,18
Herb_Bag_1956,14,16,11,12,13,10,23
Herb_Bag_1957,23,22,28,43,5,24,11
Herb_Bag_1958,22,39,21,35,13,25,14
Herb_Bag_1959,26,24,18,4,13,21,20
Herb_Bag_1960,24,21,30,18,9,32,9
Herb_Bag_1961,23,24,29,9,8,14,18
Herb_Bag_1962,15,6,23,7,6,24,9
Herb_Bag_1963,12,26,18,27,7,14,29
Herb_Bag_1964,12,23,20,14,10,13,12
Herb_Bag_1965,25,30,16,20,18,7,27
Herb_Bag_1966,18,24,13,37,8,18,11
Herb_Bag_1967,19,36,21,12,8,24,17
Herb_Bag_1968,12,10,21,41,12,15,15
Herb_Bag_1969,20,35,22,41,7,7,17
Herb_Bag_1970,21,26,27,34,13,26,1
Herb_Bag_1971,18,22,23,18,7,17,15
Herb_Bag_1972,10,29,17,44,0,25,15
Herb_Bag_1973,16,24,20,29,7,11,22
Herb_Bag_1974,12,21,10,7,18,21,7
Herb_Bag_1975,24,24,15,27,10,14,8
Herb_Bag_1976,13,10,20,31,16,22,15
Herb_Bag_1977,32,16,17,34,11,13,15
Herb_Bag_1978,27,33,27,16,10,27,14
Herb_Bag_1979,21,23,17,18,8,22,10
Herb_Bag_1980,36,27,17,29,12,20,10
Herb_Bag_1981,11,25,17,37,8,26,10
Herb_Bag_1982,21,9,8,9,8,32,4
Herb_Bag_1983,19,17,25,35,12,27,25
Herb_Bag_1984,17,27,32,13,7,24,16
Herb_Bag_1985,27,33,8,24,7,7,10
Herb_Bag_1986,21,24,21,44,9,19,11
Herb_Bag_1987,11,21,15,16,4,11,9
Herb_Bag_1988,20,13,18,16,8,23,24
Herb_Bag_1989,17,20,21,10,4,21,19
Herb_Bag_1990,26,15,19,47,6,13,24
Herb_Bag_1991,12,22,12,12,7,10,29
Herb_Bag_1992,25,26,27,15,18,10,19
Herb_Bag_1993,24,20,27,11,8,12,20
Herb_Bag_1994,32,23,25,27,20,19,11
Herb_Bag_1995,15,23,18,26,7,15,21
Herb_Bag_1996,20,26,17,27,14,35,15
Herb_Bag_1997,18,14,23,34,11,26,20
Herb_Bag_1998,25,16,18,10,14,19,8
Herb_Bag_1999,33,29,14,30,9,15,16
Herb_Bag_2000,31,25,20,6,13,32,14
Herb_Bag_2001,5,26,27,16,13,33,20
Herb_Bag_2002,12,34,19,20,4,16,14
Herb_Bag_2003,15,19,24,24,3,12,7
Herb_Bag_2004,16,16,24,19,4,28,18
Herb_Bag_2005,25,19,18,27,3,21,16
Herb_Bag_2006,17,6,19,22,19,14,14
Herb_Bag_2007,12,27,29,3,17,14,16
Herb_Bag_2008,11,28,17,8,16,16,21
Herb_Bag_2009,16,22,23,0,10,18,13
Herb_Bag_2010,16,38,21,30,3,23,9
Herb_Bag_2011,7,23,24,31,11,32,21
Herb_Bag_2012,13,20,21,50,10,18,12
Herb_Bag_2013,26,24,26,18,12,5,9
Herb_Bag_2014,17,17,20,11,18,9,24
Herb_Bag_2015,15,27,24,35,8,10,23
Herb_Bag_2016,20,34,30,8,18,16,2
Herb_Bag_2017,15,23,19,27,14,15,12
Herb_Bag_2018,22,19,27,17,13,31,13
Herb_Bag_2019,28,24,33,12,14,12,16
Herb_Bag_2020,26,25,22,36,7,20,7
Herb_Bag_2021,16,15,20,4,9,23,13
Herb_Bag_2022,23,35,26,31,12,23,14
Herb_Bag_2023,30,17,20,13,19,11,5
Herb_Bag_2024,22,33,15,37,10,29,21
Herb_Bag_2025,19,4,18,18,12,22,11
Herb_Bag_2026,16,43,23,27,2,21,4
Herb_Bag_2027,14,28,28,12,10,29,21
Herb_Bag_2028,15,31,10,33,8,6,1
Herb_Bag_2029,33,20,6,23,5,18,6
Herb_Bag_2030,11,27,14,30,10,14,13
Herb_Bag_2031,25,25,31,0,14,20,18
Herb_Bag_2032,28,13,20,18,13,23,2
Herb_Bag_2033,26,21,24,51,10,2,20
Herb_Bag_2034,21,30,25,11,14,13,9
Herb_Bag_2035,26,16,19,17,12,23,17
Herb_Bag_2036,20,13,8,36,22,14,17
Herb_Bag_2037,13,21,26,39,13,33,5
Herb_Bag_2038,34,17,22,13,16,10,19
Herb_Bag_2039,18,31,22,27,15,27,11
Herb_Bag_2040,24,14,15,7,5,21,4
Herb_Bag_2041,23,4,32,24,19,19,8
Herb_Bag_2042,32,27,9,33,11,30,12
Herb_Bag_2043,14,35,22,36,11,25,16
Herb_Bag_2044,23,26,10,3,10,31,16
Herb_Bag_2045,27,13,19,18,9,13,20
Herb_Bag_2046,24,22,15,15,4,20,11
Herb_Bag_2047,16,26,12,8,10,32,7
Herb_Bag_2048,24,28,20,44,7,23,24
Herb_Bag_2049,19,31,18,15,12,18,22
Herb_Bag_2050,25,10,10,34,5,14,6
Herb_Bag_2051,28,23,26,23,6,15,12
Herb_Bag_2052,25,28,26,10,13,17,21
Herb_Bag_2053,20,32,15,20,8,33,21
Herb_Bag_2054,23,28,22,31,0,20,14
Herb_Bag_2055,13,0,30,29,14,35,26
Herb_Bag_2056,16,46,25,7,6,18,16
Herb_Bag_2057,15,19,27,34,8,15,17
Herb_Bag_2058,26,28,13,3,2,27,7
Herb_Bag_2059,28,34,16,22,11,16,15
Herb_Bag_2060,26,17,18,42,6,11,10
Herb_Bag_2061,20,8,13,50,13,25,19
Herb_Bag_2062,18,21,12,34,10,18,17
Herb_Bag_2063,23,14,21,37,13,15,9
Herb_Bag_2064,18,23,11,17,4,26,26
Herb_Bag_2065,20,17,26,43,11,25,15
Herb_Bag_2066,18,24,10,20,15,7,23
Herb_Bag_2067,18,25,25,28,19,16,16
Herb_Bag_2068,30,24,19,31,11,22,7
Herb_Bag_2069,7,34,14,17,11,25,14
Herb_Bag_2070,19,29,23,0,9,2,6
Herb_Bag_2071,22,22,24,28,18,12,6
Herb_Bag_2072,18,10,12,13,14,20,11
Herb_Bag_2073,26,38,21,27,13,21,6
Herb_Bag_2074,19,21,19,26,0,8,11
Herb_Bag_2075,25,30,19,26,13,11,17
Herb_Bag_2076,16,45,14,18,9,23,0
Herb_Bag_2077,15,16,19,6,18,21,12
Herb_Bag_2078,20,40,16,10,11,21,29
Herb_Bag_2079,21,20,18,15,12,20,16
Herb_Bag_2080,10,23,12,20,11,23,10
Herb_Bag_2081,25,33,12,32,9,27,21
Herb_Bag_2082,24,38,17,15,14,13,11
Herb_Bag_2083,12,24,31,10,14,11,9
Herb_Bag_2084,19,23,17,18,9,26,14
Herb_Bag_2085,20,11,1,12,8,30,9
Herb_Bag_2086,19,19,22,5,11,29,8
Herb_Bag_2087,14,26,18,21,17,23,13
Herb_Bag_2088,2,37,16,5,15,26,4
Herb_Bag_2089,9,27,26,38,11,18,21
Herb_Bag_2090,6,19,24,11,13,26,10
Herb_Bag_2091,12,5,19,16,12,26,10
Herb_Bag_2092,19,25,23,42,7,22,22
Herb_Bag_2093,26,6,8,17,11,23,4
Herb_Bag_2094,38,20,19,0,6,22,13
Herb_Bag_2095,17,10,15,25,12,27,20
Herb_Bag_2096,20,17,19,25,15,20,7
Herb_Bag_2097,28,12,27,29,5,14,12
Herb_Bag_2098,12,34,26,5,6,25,12
Herb_Bag_2099,31,27,29,0,12,18,13
Herb_Bag_2100,29,10,15,7,9,26,22
Herb_Bag_2101,21,19,13,2,7,16,23
Herb_Bag_2102,18,33,16,10,11,0,23
Herb_Bag_2103,20,32,14,18,1,4,10
Herb_Bag_2104,23,28,20,21,14,15,10
Herb_Bag_2105,22,39,29,19,3,14,30
Herb_Bag_2106,29,32,18,18,17,20,13
Herb_Bag_2107,12,14,34,12,14,3,14
Herb_Bag_2108,16,17,29,13,19,13,21
Herb_Bag_2109,17,5,20,31,2,16,11
Herb_Bag_2110,22,11,18,26,9,11,12
Herb_Bag_2111,9,30,28,9,10,33,3
Herb_Bag_2112,15,27,20,16,12,11,19
Herb_Bag_2113,27,8,26,29,9,16,11
Herb_Bag_2114,18,26,18,17,14,20,15
Herb_Bag_2115,16,22,25,39,10,31,4
Herb_Bag_2116,20,26,28,38,16,21,7
Herb_Bag_2117,30,18,11,27,13,8,19
Herb_Bag_2118,15,33,21,16,13,7,15
Herb_Bag_2119,31,27,6,4,15,19,18
Herb_Bag_2120,26,35,16,27,11,12,5
Herb_Bag_2121,22,18,19,20,11,16,16
Herb_Bag_2122,22,13,13,0,17,14,20
Herb_Bag_2123,14,11,15,26,6,19,25
Herb_Bag_2124,16,21,15,7,16,16,3
Herb_Bag_2125,22,20,18,32,10,22,14
Herb_Bag_2126,22,33,20,28,16,17,16
Herb_Bag_2127,31,31,24,37,6,22,9
Herb_Bag_2128,25,24,28,23,8,17,19
Herb_Bag_2129,31,38,16,23,4,18,13
Herb_Bag_2130,12,20,25,33,9,24,28
Herb_Bag_2131,7,23,19,17,16,15,8
Herb_Bag_2132,12,30,22,15,7,24,15
Herb_Bag_2133,21,27,24,28,20,19,16
Herb_Bag_2134,10,16,14,19,9,31,15
Herb_Bag_2135,27,26,24,13,13,28,9
Herb_Bag_2136,19,33,13,25,4,18,19
Herb_Bag_2137,25,22,19,16,8,6,24
Herb_Bag_2138,22,9,15,0,8,14,14
Herb_Bag_2139,23,10,15,25,9,18,22
Herb_Bag_2140,14,32,20,29,7,12,13
Herb_Bag_2141,24,29,18,36,10,15,12
Herb_Bag_2142,18,31,24,10,13,15,10
Herb_Bag_2143,25,30,30,22,12,23,17
Herb_Bag_2144,21,22,16,22,12,0,14
Herb_Bag_2145,24,29,19,33,7,22,12
Herb_Bag_2146,14,24,6,34,10,13,14
Herb_Bag_2147,12,12,17,29,10,23,21
Herb_Bag_2148,21,39,12,11,6,23,26
Herb_Bag_2149,28,26,21,26,2,29,17
Herb_Bag_2150,13,35,20,16,2,24,18
Herb_Bag_2151,30,22,23,14,6,8,14
Herb_Bag_2152,10,19,29,8,9,36,16
Herb_Bag_2153,18,26,17,12,21,18,9
Herb_Bag_2154,31,23,19,54,11,22,14
Herb_Bag_2155,15,27,14,30,7,27,19
Herb_Bag_2156,23,25,20,22,14,14,25
Herb_Bag_2157,18,22,21,20,8,16,22
Herb_Bag_2158,23,28,16,14,16,29,22
Herb_Bag_2159,21,37,10,26,4,26,9
Herb_Bag_2160,25,13,19,0,8,21,19
Herb_Bag_2161,20,22,16,0,3,32,8
Herb_Bag_2162,28,13,15,0,8,19,16
Herb_Bag_2163,17,5,22,21,12,28,11
Herb_Bag_2164,30,16,15,32,13,20,33
Herb_Bag_2165,26,41,25,6,6,15,21
Herb_Bag_2166,23,22,15,15,4,20,11
Herb_Bag_2167,14,42,21,40,10,20,6
Herb_Bag_2168,32,21,25,22,9,16,11
Herb_Bag_2169,18,9,30,29,14,20,12
Herb_Bag_2170,22,29,11,35,8,19,23
Herb_Bag_2171,9,19,19,42,12,7,12
Herb_Bag_2172,28,17,23,17,19,11,8
Herb_Bag_2173,23,10,28,16,6,15,24
Herb_Bag_2174,22,22,15,15,8,25,11
Herb_Bag_2175,9,16,26,19,4,20,15
Herb_Bag_2176,18,39,26,34,8,15,26
Herb_Bag_2177,20,40,26,25,4,7,12
Herb_Bag_2178,14,12,22,23,11,17,11
Herb_Bag_2179,9,22,24,28,12,28,20
Herb_Bag_2180,20,36,18,17,10,24,15
Herb_Bag_2181,15,4,23,10,20,27,15
Herb_Bag_2182,23,31,9,14,11,28,21
Herb_Bag_2183,23,5,21,9,12,16,21
Herb_Bag_2184,21,0,22,28,7,17,1
Herb_Bag_2185,18,37,20,25,4,16,20
Herb_Bag_2186,13,29,20,34,8,37,15
Herb_Bag_2187,23,30,20,7,8,23,21
Herb_Bag_2188,19,6,19,20,12,25,17
Herb_Bag_2189,24,25,14,13,13,14,15
Herb_Bag_2190,8,11,22,18,8,19,23
Herb_Bag_2191,13,20,29,11,10,17,14
Herb_Bag_2192,12,26,21,18,8,26,8
Herb_Bag_2193,16,21,17,0,18,10,19
Herb_Bag_2194,27,39,12,36,14,21,20
Herb_Bag_2195,13,38,28,35,6,20,21
Herb_Bag_2196,20,27,20,27,15,12,10
Herb_Bag_2197,27,20,18,19,20,23,19
Herb_Bag_2198,16,33,33,12,13,26,17
Herb_Bag_2199,16,19,25,22,7,28,15
Herb_Bag_2200,9,40,9,14,9,12,22
Herb_Bag_2201,35,23,19,33,8,32,12
Herb_Bag_2202,25,17,14,26,12,14,8
Herb_Bag_2203,26,36,25,11,9,14,13
Herb_Bag_2204,18,17,13,19,14,11,14
Herb_Bag_2205,24,23,24,31,14,9,18
Herb_Bag_2206,17,29,26,9,5,14,16
Herb_Bag_2207,22,45,30,19,15,39,15
Herb_Bag_2208,8,10,19,24,12,7,18
Herb_Bag_2209,23,19,14,44,7,17,16
Herb_Bag_2210,20,29,25,9,6,8,15
Herb_Bag_2211,10,23,13,14,14,29,12
Herb_Bag_2212,17,5,13,17,8,22,15
Herb_Bag_2213,22,32,15,23,9,10,17
Herb_Bag_2214,14,15,22,41,1,10,16
Herb_Bag_2215,31,20,17,24,9,17,7
Herb_Bag_2216,26,13,20,14,16,21,11
Herb_Bag_2217,13,12,20,0,13,18,10
Herb_Bag_2218,18,28,23,54,5,17,0
Herb_Bag_2219,15,7,24,35,13,18,17
Herb_Bag_2220,14,32,11,26,13,10,21
Herb_Bag_2221,13,16,27,13,5,16,18
Herb_Bag_2222,25,20,22,29,8,26,21
Herb_Bag_2223,27,22,15,15,11,16,8
Herb_Bag_2224,16,15,27,17,14,20,0
Herb_Bag_2225,19,17,30,9,9,13,12
Herb_Bag_2226,14,15,21,12,14,15,28
Herb_Bag_2227,18,12,22,39,12,12,17
Herb_Bag_2228,24,41,22,29,16,17,15
Herb_Bag_2229,15,12,26,10,10,21,2
Herb_Bag_2230,21,19,15,7,13,23,24
Herb_Bag_2231,13,12,21,30,10,14,24
Herb_Bag_2232,18,23,23,27,9,15,14
Herb_Bag_2233,20,26,15,30,14,18,21
Herb_Bag_2234,8,49,27,12,6,14,24
Herb_Bag_2235,18,27,19,38,0,25,21
Herb_Bag_2236,28,18,17,25,9,17,24
Herb_Bag_2237,15,35,29,19,6,24,15
Herb_Bag_2238,26,22,32,10,13,25,6
Herb_Bag_2239,11,12,24,34,7,20,9
Herb_Bag_2240,20,14,19,23,5,26,11
Herb_Bag_2241,16,36,17,27,18,16,15
Herb_Bag_2242,19,32,15,4,10,11,9
Herb_Bag_2243,26,19,13,30,3,26,4
Herb_Bag_2244,17,14,21,35,1,5,17
Herb_Bag_2245,6,21,15,56,2,3,26
Herb_Bag_2246,24,27,19,29,14,20,15
Herb_Bag_2247,15,21,17,7,8,26,11
Herb_Bag_2248,10,14,19,27,0,27,24
Herb_Bag_2249,15,13,11,15,2,19,13
Herb_Bag_2250,20,27,11,16,10,22,22
Herb_Bag_2251,22,33,30,44,12,26,14
Herb_Bag_2252,11,29,25,29,0,19,15
Herb_Bag_2253,28,21,16,30,10,21,3
Herb_Bag_2254,25,24,22,34,9,18,23
Herb_Bag_2255,17,30,20,29,12,16,14
Herb_Bag_2256,13,18,21,23,14,39,13
Herb_Bag_2257,19,0,15,11,9,9,17
Herb_Bag_2258,21,35,22,20,10,16,11
Herb_Bag_2259,23,8,25,27,4,18,12
Herb_Bag_2260,18,11,19,0,9,28,26
Herb_Bag_2261,11,5,18,15,12,16,4
Herb_Bag_2262,22,30,22,19,2,9,10
Herb_Bag_2263,16,15,28,26,14,8,2
Herb_Bag_2264,24,37,19,29,11,33,6
Herb_Bag_2265,19,19,26,20,8,29,15
Herb_Bag_2266,22,17,32,3,10,12,6
Herb_Bag_2267,20,11,22,27,17,29,15
Herb_Bag_2268,21,24,22,33,7,28,12
Herb_Bag_2269,15,21,26,27,9,18,22
Herb_Bag_2270,16,24,19,33,15,27,4
Herb_Bag_2271,10,28,26,9,15,43,16
Herb_Bag_2272,22,27,18,27,10,28,14
Herb_Bag_2273,23,13,23,38,0,24,19
Herb_Bag_2274,15,27,13,2,6,21,16
Herb_Bag_2275,35,26,20,27,3,20,21
Herb_Bag_2276,22,9,23,16,6,16,18
Herb_Bag_2277,25,27,22,25,2,22,11
Herb_Bag_2278,22,27,22,21,13,9,8
Herb_Bag_2279,25,29,15,8,12,16,9
Herb_Bag_2280,9,26,17,44,10,7,17
Herb_Bag_2281,22,14,23,25,4,15,15
Herb_Bag_2282,17,36,17,26,9,17,20
Herb_Bag_2283,29,18,21,33,9,13,7
Herb_Bag_2284,24,21,20,17,0,25,15
Herb_Bag_2285,22,20,16,39,9,19,16
Herb_Bag_2286,22,20,27,17,20,13,13
Herb_Bag_2287,15,16,16,1,7,9,19
Herb_Bag_2288,21,39,24,0,8,20,19
Herb_Bag_2289,29,35,19,15,8,26,20
Herb_Bag_2290,16,15,25,33,0,25,13
Herb_Bag_2291,19,10,10,18,14,17,10
